Mean Depth,Offset corected,ice age,gas age
2630.371,392.4014378,24408.21143,23934.37554
2632.371,375.2182642,24476.46276,23999.09375
2632.371,373.0309195,24476.46276,23999.09375
2634.632,360.2634226,24548.50099,24072.1483
2634.632,357.5547651,24548.50099,24072.1483
2636.374,358.624162,24600.92909,24128.36686
2638.376,361.0606493,24663.57351,24192.91637
2638.376,356.8733871,24663.57351,24192.91637
2640.587,361.8392866,24730.33911,24264.54422
2642.377,364.3504498,24786.0098,24320.34893
2642.377,364.0751633,24786.0098,24320.34893
2644.378,368.1969827,24847.74481,24382.82662
2644.378,363.4206381,24847.74481,24382.82662
2646.589,374.4544092,24913.51686,24453.29731
2648.38,370.1470415,24963.37319,24508.96134
2650.382,372.5559747,25023.69649,24570.47115
2650.382,372.9527673,25023.69649,24570.47115
2652.5855,365.0399197,25091.36577,24637.81152
2652.593,365.3938393,25091.58005,24638.02993
2654.386,371.8968474,25142.72549,24691.6441
2654.391,366.6710972,25142.86999,24691.78662
2656.375,368.4020552,25202.2936,24750.90112
2656.375,371.5943267,25202.2936,24750.90112
2656.38,364.1807039,25202.43216,24751.05069
2658.602,375.2029005,25266.36948,24817.13599
2660.388,374.1685229,25320.8219,24869.90069
2660.403,374.0455658,25321.25795,24870.32326
2662.385,377.845875,25380.57803,24928.31279
2662.39,386.6595735,25380.75164,24928.47481
2665.091,368.63931,25464.57397,25009.25226
2666.383,361.6514501,25505.13075,25048.25032
2668.395,365.9698999,25569.04712,25109.79036
2670.601,361.9763874,25636.90558,25175.967
2672.393,366.9016815,25692.75033,25229.19606
2672.398,369.1251488,25692.90831,25229.34541
2674.395,373.5421008,25756.59797,25289.62997
2676.62,361.8885205,25825.46936,25356.46484
2678.392,361.7722244,25882.97252,25410.19241
2680.41,376.6715591,25945.35765,25471.03573
2682.626,360.7074116,26016.60879,25540.05651
2684.402,344.0761982,26071.21449,25595.87156
2686.404,364.74134,26134.08508,25659.65284
2688.6375,355.1093805,26204.10282,25730.92717
2690.427,359.678433,26258.02627,25787.83747
2692.413,363.0056091,26318.82844,25851.59022
2695.1175,360.6133542,26397.34132,25938.3574
2696.423,360.4082551,26436.94723,25979.89045
2698.415,358.0889382,26496.3371,26042.42894
2698.42,359.4293131,26496.49384,26042.58836
2700.515,363.1088897,26563.28434,26107.58893
2702.422,368.060465,26618.1567,26166.89454
2702.437,366.7106526,26618.56654,26167.34737
2704.4355,358.2294911,26678.00729,26228.63765
2706.631,358.3995046,26743.18827,26294.06492
2708.425,358.3471631,26796.86674,26347.45341
2710.42,363.7412609,26856.23265,26407.77818
2712.631,360.954101,26922.15028,26475.34952
2712.636,362.9651597,26922.28351,26475.48793
2714.419,362.0590785,26973.70556,26529.09207
2716.438,369.6835602,27033.60502,26590.10548
2718.626,377.5934215,27104.40407,26655.84526
2720.43,382.7415463,27156.09589,26709.7278
2720.435,376.4548584,27156.23288,26709.87239
2722.433,367.5706872,27215.47923,26771.52896
2725.131,379.5087926,27293.91924,26851.75944
2726.415,384.772001,27329.72857,26889.91598
2728.41,371.9829887,27386.01928,26950.59618
2730.429,385.5267153,27443.7733,27011.29859
2732.413,392.2431076,27499.74455,27069.81729
2734.411,386.9364589,27554.63032,27127.84293
2736.41,378.7553818,27609.50959,27186.51983
2738.404,377.6684556,27662.55831,27244.05136
2740.408,381.4101778,27713.04156,27300.71764
2740.4215,381.325053,27713.39221,27301.08177
2742.41,384.5303544,27769.52751,27357.03458
2744.417,389.6077352,27828.2439,27413.77832
