Mean Depth ,CH4nNormalized,mean total air,ice age,gas age ,,Ca2+,CH4cNormalized,Top Depth ,Bottom Depth
1455.53,517.9030449,0.095358047,13356.61818,12667.12727,,34.30444444,516.8097031,1455.49,1455.57
1455.66,519.6996477,0.093452968,13362.05455,12673.98182,,31.38,518.6791247,1455.62,1455.7
1455.8,515.0886461,0.093205892,13367.90909,12681.36364,,37.86,513.8541203,1455.75,1455.85
1455.95,522.6993697,0.092660989,13373.81818,12689.45455,,24.06444444,521.9100702,1455.91,1455.99
1456.08,533.8041275,0.095122652,13378.78182,12696.54545,,31.51666667,532.7971512,1456.04,1456.12
1456.21,529.8560226,0.090681854,13383.74545,12703.63636,,31.55888889,528.7983184,1456.17,1456.25
1456.35,533.2194751,0.091620405,13389.09091,12711.27273,,28.89090909,532.2611079,1456.3,1456.4
1456.485,538.1746489,0.092125012,13394.09091,12718.17273,,42.75125,536.7642753,1456.45,1456.52
1456.62,545.6018457,0.090857356,13399,12724.8,,32.02555556,544.5305743,1456.58,1456.66
1456.75,536.5988044,0.091052688,13403.72727,12731.18182,,31.56,535.5453708,1456.71,1456.79
1456.895,540.1498286,0.092667969,13409,12738.3,,41.08,538.8025304,1456.84,1456.95
1457.05,544.8008916,0.092842173,13414.81818,12746.45455,,32.68,543.7310988,1457.01,1457.09
1457.18,539.3313878,0.090964685,13419.78182,12753.54545,,30.85555556,538.3004714,1457.14,1457.22
1457.31,551.224107,0.089619696,13424.74545,12760.63636,,33.23444444,550.0970448,1457.27,1457.35
1457.45,559.8960683,0.090134497,13430.09091,12768.27273,,42.98363636,558.4467124,1457.4,1457.5
1457.6,554.5656106,0.090280789,13436,12775.90909,,35.91,553.3567312,1457.56,1457.64
1457.73,555.8783637,0.08858216,13441.2,12782.29091,,31.37222222,554.8019928,1457.69,1457.77
1458,558.2629717,0.090985565,13452,12795.54545,,28.73363636,557.3031711,1457.95,1458.05
1458.15,575.8545494,0.090905791,13457.81818,12802.90909,,31.3,574.8081061,1458.11,1458.19
1458.28,581.4828714,0.090476833,13462.78182,12809.29091,,36.84,580.2453715,1458.24,1458.32
1458.41,600.8552381,0.090505428,13467.74545,12815.67273,,26.63,599.960987,1458.37,1458.45
1458.55,598.2675309,0.092456756,13473.09091,12822.54545,,38.1,597.015113,1458.5,1458.6
1458.7,620.6363241,0.091787818,13478.63636,12829.36364,,36.84,619.4164991,1458.66,1458.74
1458.83,617.6056774,0.091406854,13483.36364,12835.03636,,39.31,616.2986424,1458.79,1458.87
1458.96,627.9329791,0.091851384,13488.09091,12840.70909,,38.1,626.6723068,1458.92,1459
1459.1,635.5485182,0.093215443,13493.18182,12846.81818,,36.81909091,634.348057,1459.05,1459.15
1459.25,634.1720419,0.091457165,13498.81818,12853.18182,,37.09444444,632.9393513,1459.21,1459.29
1459.38,635.9133053,0.089729781,13503.78182,12858.61818,,30.14333333,634.8923244,1459.34,1459.42
1459.51,633.7925177,0.091846315,13508.74545,12864.05455,,36.58888889,632.581779,1459.47,1459.55
1459.65,644.552822,0.092703622,13514.09091,12869.90909,,34.72181818,643.4144907,1459.6,1459.7
1459.79,650.1571034,0.092621401,13519.27273,12875.6,,29.87777778,649.1767111,1459.75,1459.83
1459.92,650.0970101,0.091290536,13524,12880.8,,32.86666667,649.0028198,1459.88,1459.96
1460.05,651.2814925,0.092327759,13528.72727,12886,,34.61818182,650.1419386,1460,1460.1
1460.2,653.9143532,0.092707549,13534.18182,12892,,26.89454545,653.032671,1460.15,1460.25
1460.35,666.5065731,0.085684232,13539.63636,12898.18182,,30.30666667,665.4315936,1460.31,1460.39
1460.48,668.0866111,0.091962142,13544.36364,12903.61818,,27.35,667.1827303,1460.44,1460.52
1460.61,668.0941937,0.092882834,13549.09091,12909.05455,,26.08,667.2408282,1460.57,1460.65
1460.75,670.4861389,0.093450485,13554.18182,12914.90909,,28.24181818,669.5676498,1460.7,1460.8
1460.9,696.1745929,0.090450966,13560.18182,12921.18182,,36.59727273,694.9448949,1460.85,1460.95
1461.04,697.6538093,0.092436011,13566.03636,12927.03636,,31.01777778,696.6339685,1461,1461.08
1461.17,693.1382276,0.088819258,13571.47273,12932.47273,,45.73555556,691.5732441,1461.13,1461.21
1461.305,695.0757845,0.093074888,13577.11818,12938.11818,,41.23,693.7294787,1461.26,1461.35
1461.45,697.3116859,0.094078973,13583,12944.36364,,31.66,696.2889081,1461.41,1461.49
1461.58,701.968884,0.091711737,13588.2,12950.03636,,47.94,700.3802054,1461.54,1461.62
1461.71,704.3594015,0.093424964,13593.4,12955.70909,,53.85555556,702.607416,1461.67,1461.75
1461.85,702.5023134,0.092926486,13599,12961.81818,,38.01636364,701.2589618,1461.8,1461.9
1462,704.4910316,0.094529627,13605.36364,12968.18182,,54.13333333,702.7505888,1461.96,1462.04
1462.13,706.7056374,0.092936906,13611.03636,12973.61818,,63.36555556,704.6334551,1462.09,1462.17
1462.26,704.9963469,0.092551489,13616.70909,12979.05455,,50.93444444,703.3237507,1462.22,1462.3
1462.4,704.0279671,0.093465528,13622.81818,12984.90909,,47.36,702.4879585,1462.35,1462.45
1463.65,677.7738984,0.093474174,13676.63636,13036,,40.17555556,676.4676277,1463.61,1463.69
1463.655,684.0234922,0.093330457,13676.81818,13036.2,,40.408,682.7076407,1463.61,1463.7
1463.78,676.2447787,0.092226507,13681.36364,13041.2,,35.15,675.0864482,1463.74,1463.82
1463.91,675.8600154,0.093856276,13686.09091,13046.4,,32.26444444,674.8152379,1463.87,1463.95
1464.14,681.3746537,0.093948588,13694.45455,13055.81818,,28.84333333,680.4415753,1464.10,1464.18
1464.755,661.473161,0.093488244,13717.00909,13083.96364,,32.97,660.4013335,1464.71,1464.8
1465.79,644.7880819,0.091341287,13758.52727,13133.89091,,31.02,643.7559443,1465.75,1465.83
1466.405,633.8987027,0.092608009,13782.00909,13162.58182,,33.82,632.7887921,1466.36,1466.45
1466.89,652.5842823,0.089734733,13800.52727,13183.67273,,32.18666667,651.4941522,1466.85,1466.93
1467.505,654.1041051,0.092563733,13824.2,13209.39091,,39.513,652.8067404,1467.46,1467.55
1468.55,699.0001901,0.090157203,13864.72727,13252.81818,,33.79285714,697.8610231,1468.52,1468.58
1469.155,702.1024524,0.090448388,13886.2,13275.00909,,33.854,700.9648982,1469.11,1469.2
1470.255,699.8515783,0.090306584,13929.00909,13316.00909,,30.384,698.8290191,1470.21,1470.3
1471.295,713.1263164,0.087318803,13974.12727,13355.88182,,34.695,711.9187194,1471.25,1471.34
1471.905,711.4238825,0.088989262,14003.53636,13380.62727,,49.968,709.7173392,1471.86,1471.95
1472.39,706.6002979,0.088342299,14029.32727,13397.23636,,61.64777778,704.4794396,1472.35,1472.43
1473.005,707.4133417,0.091678487,14064.15455,13416.24545,,54.044,705.6217338,1472.96,1473.05
1474.045,710.5386977,0.092154856,14113.88182,13450.55455,,31.86,709.4879693,1474.00,1474.09
1474.59,704.5840292,0.088926371,14136.6,13469.45455,,27.74111111,703.6359247,1474.55,1474.63
1474.655,702.7844399,0.090190614,14139.2,13471.81818,,27.24,701.8665118,1474.61,1474.7
1475.14,702.1969872,0.088191383,14158.96364,13489.38182,,32.60555556,701.0733441,1475.10,1475.18
1475.755,700.7898715,0.091042035,14188.2,13510.62727,,43.14,699.3497435,1475.71,1475.8
1476.79,706.7754643,0.088089066,14227.52727,13548.6,,34.67,705.5792892,1476.75,1476.83
1477.34,698.4021744,0.089497867,14248.52727,13570.6,,26.08777778,697.5162691,1477.30,1477.38
1477.89,681.3181431,0.090672541,14269.52727,13592.74545,,25.29,680.4704552,1477.85,1477.93
1478.44,667.6977313,0.091170988,14290.38182,13616.74545,,27.38333333,666.7848957,1478.40,1478.48
1478.99,664.5877752,0.089380943,14309.52727,13640.67273,,28.86555556,663.606258,1478.95,1479.03
1479.54,683.7543898,0.088784665,14330.45455,13663.52727,,32.95444444,682.6263122,1479.50,1479.58
1480.155,680.3421456,0.090826534,14353.2,13687.39091,,27.722,679.4145157,1480.11,1480.2
1480.64,680.3190525,0.08655959,14372.6,13707.67273,,35.79,679.0624166,1480.60,1480.68
1481.255,687.3800653,0.089842594,14397.2,13733.58182,,26.3,686.49038,1481.21,1481.3
1482.29,700.0675011,0.091349993,14436.38182,13775.67273,,35.48555556,698.8868923,1482.25,1482.33
1482.905,699.9490498,0.091278267,14457.43636,13801.39091,,27.9,699.0200839,1482.86,1482.95
1483.39,688.2433938,0.090762588,14473.6,13821.67273,,21.85888889,687.5114392,1483.35,1483.43
