Table S2.,,,
Dongge Cave stalagmite D4 Oxygen Isotope Data,,,
Years,delta,18O,(VPDB)
,8267.9,-8.711,
,8270,-8.778,
,8272.1,-8.558,
,8274.1,-8.746,
,8276.2,-8.712,
,8278.3,-8.921,
,8280.4,-9.006,
,8282.5,-8.797,
,8284.6,-9.244,
,8305.4,-8.94,
,8326.2,-9.07,
,8347.1,-8.96,
,8367.9,-9.07,
,8388.7,-9.41,
,8409.6,-9.2,
,8430.4,-8.85,
,8451.2,-8.79,
,8472,-8.84,
,8498.8,-9.06,
,8525.6,-8.77,
,8552.4,-9.39,
,8579.2,-8.99,
,8606,-8.96,
,8632.8,-9.29,
,8659.6,-8.97,
,8686.4,-9.29,
,8713.2,-9.07,
,8740,-9.03,
,8766.8,-9.34,
,8793.6,-9.43,
,8820.4,-9.14,
,8847.2,-9.16,
,8874,-8.87,
,8997.5,-9.04,
,9015.5,-9.31,
,9033.4,-9.2,
,9051.3,-9.34,
,9069.2,-8.49,
,9087.1,-8.01,
,9105,-8.01,
,9134.1,-7.88,
,9163.3,-8.14,
,9192.4,-8.15,
,9221.5,-8.33,
,9250.7,-8.52,
,9279.8,-9.18,
,9308.9,-9.03,
,9338.1,-9.07,
,9367.2,-8.92,
,9396.3,-8.8,
,9425.5,-8.83,
,9454.6,-8.79,
,9483.7,-8.94,
,9512.9,-9.08,
,9542,-9.22,
,9571,-8.65,
,9600,-8.29,
,9629,-8.25,
,9658,-8.66,
,9687,-8.91,
,9716,-8.42,
,9745,-8.18,
,9774,-8.88,
,9803,-8.88,
,9832,-8.72,
,9861,-8.75,
,9890,-8.66,
,9919,-8.56,
,9948,-8.01,
,9977,-8.31,
,9995.3,-8.69,
,10013.5,-8.44,
,10031.8,-8.58,
,10050,-8.93,
,10068.3,-8.99,
,10086.6,-9.02,
,10104.8,-9.06,
,10123.1,-8.8,
,10141.3,-8.26,
,10159.6,-8.49,
,10177.9,-8.59,
,10196.1,-9.16,
,10214.4,-9.15,
,10232.7,-8.86,
,10250.9,-8.64,
,10269.2,-8.9,
,10287.4,-8.79,
,10305.7,-8.94,
,10324,-8.99,
,10342.2,-8.65,
,10360.5,-9,
,10378.7,-8.9,
,10397,-8.83,
,10416,-8.31,
,10434.9,-8.3,
,10453.9,-8.61,
,10472.8,-8.03,
,10491.8,-8.7,
,10510.8,-8.86,
,10529.7,-8.92,
,10548.7,-8.83,
,10567.7,-9.02,
,10605.6,-8.95,
,10624.5,-8.69,
,10643.5,-8.77,
,10662.5,-9.05,
,10681.4,-8.87,
,10700.4,-8.2,
,10719.3,-8.43,
,10738.3,-8.32,
,10757.3,-8.63,
,10776.2,-8.96,
,10795.2,-8.9,
,10814.2,-8.82,
,10833.1,-7.96,
,10852.1,-7.75,
,10871,-7.7,
,10890,-7.84,
,10909.1,-7.97,
,10928.2,-8.11,
,10947.4,-8.23,
,10966.5,-8.18,
,10985.6,-8.71,
,11004.7,-8.6,
,11023.8,-8.42,
,11043,-8.32,
,11062.1,-8.4,
,11081.2,-8.63,
,11100.3,-8.38,
,11119.4,-8.21,
,11138.6,-8.24,
,11157.7,-8.41,
,11176.8,-8.61,
,11195.9,-7.52,
,11215,-7.37,
,11234.2,-7.62,
,11253.3,-7.95,
,11272.4,-8.22,
,11291.5,-8,
,11310.6,-7.45,
,11329.8,-7.57,
,11348.9,-7.45,
,11368,-7.76,
,11384.9,-7.73,
,11401.8,-7.37,
,11418.7,-7.44,
,11435.6,-7.36,
,11452.5,-7.36,
,11469.4,-7.54,
,11486.3,-7.42,
,11503.2,-7.42,
,11520.1,-7.27,
,11537,-6.93,
,11554,-6.89,
,11570.9,-6.85,
,11587.8,-6.76,
,11604.7,-6.76,
,11621.6,-6.86,
,11638.5,-6.8,
,11655.4,-6.62,
,11672.3,-6.63,
,11689.2,-6.34,
,11706.1,-6.29,
,11723,-6.57,
,11744.3,-6.59,
,11765.6,-6.38,
,11786.9,-6.12,
,11808.2,-6.77,
,11829.5,-6.73,
,11850.8,-6.89,
,11872.1,-6.74,
,11893.4,-6.66,
,11914.7,-6.8,
,11936,-6.87,
,11957.3,-6.63,
,11978.6,-6.87,
,11999.9,-6.45,
,12021.2,-6.7,
,12042.5,-6.5,
,12063.8,-6.84,
,12085.1,-6.49,
,12106.4,-6.51,
,12127.7,-6.65,
,12149,-6.49,
,12179.4,-6.6,
,12209.8,-6.7,
,12240.3,-6.86,
,12270.7,-6.96,
,12301.1,-6.31,
,12331.5,-6.56,
,12361.9,-6.71,
,12392.3,-6.82,
,12422.8,-6.8,
,12453.2,-6.94,
,12483.6,-6.95,
,12514,-6.62,
,12542.3,-6.48,
,12570.6,-6.52,
,12598.9,-7.18,
,12627.2,-7.28,
,12655.5,-7.15,
,12683.8,-7.29,
,12712.1,-7.11,
,12740.4,-7.41,
,12768.6,-7.49,
,12796.9,-7.17,
,12825.2,-7.44,
,12853.5,-7.34,
,12881.8,-7.47,
,12910.1,-7.52,
,12938.4,-6.92,
,12966.7,-7.23,
,12995,-7.27,
,13001.4,-7.05,
,13007.7,-7.31,
,13014.1,-7.85,
,13020.5,-7.85,
,13026.9,-7.74,
,13033.2,-7.59,
,13039.6,-7.57,
,13046,-7.53,
,13052.3,-7.81,
,13058.7,-7.92,
,13065.1,-7.88,
,13071.4,-7.85,
,13077.8,-8.13,
,13084.2,-8.24,
,13090.6,-8.1,
,13096.9,-8.07,
,13103.3,-8.15,
,13109.7,-8.4,
,13116,-8.17,
,13122.4,-8.38,
,13128.8,-8.49,
,13135.1,-7.83,
,13141.5,-7.73,
,13147.9,-7.77,
,13154.3,-7.85,
,13160.6,-7.81,
,13167,-7.93,
,13182.7,-7.88,
,13198.4,-7.87,
,13214.1,-7.81,
,13229.8,-8.05,
,13245.5,-7.47,
,13261.2,-7.86,
,13276.9,-7.78,
,13292.6,-8.07,
,13308.3,-8.03,
,13324,-8.05,
,13339.7,-7.75,
,13355.4,-7.91,
,13371.1,-7.87,
,13386.8,-8.01,
,13402.5,-7.9,
,13418.2,-7.87,
,13433.9,-8.09,
,13449.6,-8.03,
,13465.3,-8.01,
,13481,-8.2,
,13496.7,-8.29,
,13512.4,-8.09,
,13559.5,-7.98,
,13575.2,-8.15,
,13590.9,-7.94,
,13606.6,-7.89,
,13622.3,-8.03,
,13638,-7.97,
,13666.2,-7.9,
,13694.4,-7.94,
