GISP2 depth,[Ca2+] GISP2
(m),(ppb)
1496.52,8
1498.18,8
1498.18,6.31
1500,6.31
1500,6.07
1501.86,6.07
1501.86,7.47
1503.82,7.47
1503.82,6.53
1505.73,6.53
1505.73,6.72
1507.66,6.72
1507.66,5.96
1509.55,5.96
1509.55,6.22
1511.3,6.22
1511.3,10.16
1513.14,10.16
1513.14,6.76
1515.04,6.76
1515.04,7.02
1516.63,7.02
1516.63,8.06
1518.55,8.06
1518.55,7.1
1520.43,7.1
1520.43,7.02
1522.19,7.02
1522.19,9.5
1523.94,9.5
1523.94,18.33
1525.71,18.33
1525.71,8.06
1527.51,8.06
1527.51,7.16
1529.31,7.16
1529.31,10.27
1530.95,10.27
1530.95,8.98
1532.75,8.98
1532.75,9.46
1534.55,9.46
1534.55,7.94
1536.33,7.94
1536.33,7.66
1538.22,7.66
1538.22,7.52
1539.96,7.52
1539.96,6.82
1541.74,6.82
1541.74,9.76
1543.49,9.76
1543.49,9.53
1545.18,9.53
1545.18,8.43
1546.94,8.43
1546.94,7.13
1548.69,7.13
1548.69,7.73
1550.54,7.73
1550.54,5.8
1552.31,5.8
1552.31,8.56
1553.93,8.56
1553.93,8.21
1555.65,8.21
1555.65,8.63
1557.2,8.63
1557.2,8.53
1558.96,8.53
1558.96,7.81
1560.66,7.81
1560.66,7.05
1562.4,7.05
1562.4,7.73
1564.07,7.73
1564.07,9.72
1565.56,9.72
1565.56,7.73
1567.22,7.73
1567.22,6.94
1568.86,6.94
1568.86,9.76
1570.5,9.76
1570.5,7.79
1572.06,7.79
1572.06,9.77
1573.62,9.77
1573.62,7.43
1575.39,7.43
1575.39,10.08
1577.04,10.08
1577.04,7.79
1578.48,7.79
1578.48,10.54
1579.97,10.54
1579.97,8.79
1581.5,8.79
1581.5,10.03
1583.16,10.03
1583.16,9.23
1584.77,9.23
1584.77,9.93
1586.49,9.93
1586.49,15.58
1587.97,15.58
1587.97,9.02
1589.49,9.02
1589.49,8.6
1590.89,8.6
1590.89,7.46
