Mean Depth ,Gravity/solubility corrected,mean total air,ice age,gas age,,Ca2+,CH4xs corrected,Bottom Depth,Mean Depth 
1880.175,404.5553262,0.095930112,18345.34664,17610.27982,,125.3583333,400.3411113,1880.23,1140.285556
1880.45,397.1813935,0.09761,18357.4776,17622.241,,126.9,392.9888401,1880.5,1136.74442
1880.45,398.164126,0.09655,18357.4776,17622.241,,126.9,393.9254433,1880.5,1137.212722
1880.65,399.1452743,0.09529227,18366.30011,17630.94003,,131.4563636,394.6964796,1880.7,1137.69824
1880.65,406.5699667,0.094655941,18366.30011,17630.94003,,131.4563636,402.0912647,1880.7,1141.395632
1880.95,403.5287965,0.09596,18379.53388,17643.98859,,151.96,398.4220537,1881,1139.711027
1880.95,405.4030894,0.09483,18379.53388,17643.98859,,151.96,400.2353625,1881,1140.617681
1881.16,400.2657156,0.095633609,18388.79752,17653.12258,,153.8781818,395.0767005,1881.21,1138.14335
1881.16,399.0760067,0.095874075,18388.79752,17653.12258,,153.8781818,393.9000065,1881.21,1137.555003
1881.45,399.8298955,0.09474,18401.59017,17665.73619,,162.51,394.2980109,1881.5,1137.899005
1881.665,398.1909177,0.099463132,18411.07437,17675.08765,,159.8925,393.0066862,1881.7,1137.353343
1881.95,410.716174,0.08,18423.64646,17687.48378,,152.04,404.5874175,1882,1143.293709
1882.9625,395.8932093,0.09663,18468.31044,17731.52266,,166.11,390.3492728,1883,1136.674636
1883.38,391.6095761,0.095679159,18486.80704,17749.64331,,167.67,385.9581709,1883.42,1134.689085
1883.925,396.3528381,0.0942,18513.02056,17772.29501,,289.24,386.4506488,1884,1135.225324
1884.8875,392.7237847,0.096816485,18559.31867,17812.29741,,136.6615741,388.1716454,1885.425,1136.798323
1884.925,400.1710998,0.09508,18561.12249,17813.85595,,153.781875,394.9551066,1885,1139.977553
1885.3875,397.5702683,0.095831603,18583.36964,17833.07788,,124.63,393.3762312,1885.425,1139.400616
1885.8875,389.0667888,0.09774,18607.4206,17853.85835,,127.58,384.8571878,1885.93,1135.391094
1886.295,390.3025128,0.093188597,18627.02214,17870.79443,,116.31,386.2774495,1886.32,1136.298725
1886.95,394.9294632,0.09361,18658.52891,17898.01684,,128.2,390.5128495,1887,1138.756425
1887.35,395.9292125,0.094743191,18677.76968,17914.64122,,140.7281818,391.1390362,1887.4,1139.269518
1887.35,392.7266157,0.094730899,18677.76968,17914.64122,,140.7281818,387.9358178,1887.4,1137.667909
1887.85,394.4424407,0.09356,18701.82064,17935.42169,,136.95,389.7217525,1887.9,1138.810876
1887.85,392.6844578,0.0948,18701.82064,17935.42169,,136.95,388.0258776,1887.9,1137.962939
1888.8875,397.9654366,0.09521,18751.7264,17978.54116,,142.14,393.1511683,1888.93,1141.038084
1889.8875,393.2443965,0.09391,18799.82833,18020.10209,,171.8,387.3445088,1889.93,1138.634754
1890.65,402.7162725,0.07792,18836.50606,18051.79231,,148.45,396.5726203,1890.7,1143.63631
1890.65,398.9611472,0.09517,18836.50606,18051.79231,,148.45,393.9309264,1890.7,1142.315463
1891.95,399.9438095,0.09299,18899.03857,18105.82152,,223.36,392.1976288,1892,1142.098814
1891.95,395.6276619,0.09375,18899.03857,18105.82152,,223.36,387.9445078,1892,1139.972254
1892.9625,393.3310909,0.09527,18947.74178,18147.90197,,147.41,388.3411236,1893,1140.670562
1893.95,388.0435616,0.09481,18995.24243,18188.9434,,143.2572727,383.1709834,1894,1138.585492
1893.95,391.7009499,0.09545,18995.24243,18188.9434,,143.2572727,386.8605967,1894,1140.430298
1894.95,385.1746513,0.0957,19043.24295,18230.59344,,135.7136364,380.601546,1895,1137.800773
1895.95,389.7798429,0.09433,19088.54827,18274.61142,,219.49,382.2762992,1896,1139.13815
1895.95,390.1358689,0.07803,19088.54827,18274.61142,,219.49,381.0641974,1896,1138.532099
1896.95,387.8414018,0.09414,19133.78418,18318.6904,,127.33,383.4797055,1897,1140.239853
1896.95,392.1269298,0.0947,19133.78418,18318.6904,,127.33,387.7909,1897,1142.39545
1897.95,388.6918014,0.09638,19179.02008,18362.76938,,140.3572727,383.995223,1898,1140.997611
1897.95,385.6513699,0.09645,19179.02008,18362.76938,,140.3572727,380.9583806,1898,1139.47919
1898.95,393.4891997,0.09518,19224.25599,18406.84836,,166.95,387.8324812,1899,1143.416241
1898.95,393.4991707,0.09553,19224.25599,18406.84836,,166.95,387.8632933,1899,1143.431647
1899.7725,387.916101,0.09513,19261.46252,18443.10331,,131.53,383.4571005,1899.83,1141.64105
1900.95,387.4415932,0.09475,19314.72779,18495.00631,,121.66,383.3006987,1901,1142.150349
1900.95,389.610646,0.09491,19314.72779,18495.00631,,121.66,385.4767516,1901,1143.238376
1901.85,392.8145399,0.092982011,19355.44011,18534.67739,,207.1536364,385.6297833,1901.9,1143.764892
1901.85,394.6535611,0.092941748,19355.44011,18534.67739,,207.1536364,387.465692,1901.9,1144.682846
1903.05,390.9138232,0.09579867,19409.72319,18587.57216,,146.19,385.9925598,1903.1,1144.54628
1903.05,390.2344064,0.095259616,19409.72319,18587.57216,,146.19,385.2852945,1903.1,1144.192647
1904.34,389.3069337,0.094923332,19468.07751,18644.43404,,138.45,384.6032467,1904.39,1144.496623
1904.34,389.0311889,0.095664284,19468.07751,18644.43404,,138.45,384.3639335,1904.39,1144.376967
1906.34,389.795154,0.093822734,19558.54931,18732.592,,131.8,385.2648666,1906.39,1145.827433
1906.34,398.4849192,0.09381072,19558.54931,18732.592,,131.8,393.9540516,1906.39,1150.172026
1907.47,391.858754,0.094838948,19609.66589,18782.40124,,165.6818182,386.2248875,1907.52,1146.872444
1907.47,395.0598367,0.095354527,19609.66589,18782.40124,,165.6818182,389.4564323,1907.52,1148.488216
1908.15,391.0140762,0.093605981,19640.4263,18812.37495,,135.93,386.3310116,1908.2,1147.265506
1908.15,391.9762747,0.093339698,19640.4263,18812.37495,,135.93,387.2798501,1908.2,1147.739925
1909.05,388.8600326,0.09459775,19681.13861,18852.04603,,223.21,381.2506176,1909.1,1145.175309
1909.05,392.0709377,0.094116286,19681.13861,18852.04603,,223.21,384.4225957,1909.1,1146.761298
