depth_m,age_ice_calBP,age_gas_calBP
244.956,931,742.2
245.153,932,743.2
245.46,933,744.3
245.668,934,745.3
245.93,935,746.4
246.105,936,747.4
246.313,937,748.5
246.619,938,749.5
246.849,939,750.5
247.167,940,751.6
247.495,941,752.6
247.79,942,753.7
248.075,943,754.7
248.271,944,755.8
248.479,945,756.8
248.742,946,757.9
249.07,947,758.9
249.311,948,760
249.519,949,761
249.748,950,762.1
249.956,951,763.1
250.175,952,764.2
250.383,953,765.2
250.624,954,766.3
250.919,955,767.3
251.171,956,768.4
251.39,957,769.4
251.587,958,770.5
251.838,959,771.5
252.079,960,772.6
252.298,961,773.6
252.528,962,774.6
252.757,963,775.7
252.998,964,776.7
253.206,965,777.8
253.447,966,778.8
253.687,967,779.8
253.906,968,780.9
254.158,969,781.9
254.398,970,783
254.661,971,784
254.935,972,785
255.131,973,786.1
255.328,974,787.1
255.624,975,788.2
255.843,976,789.2
256.072,977,790.2
256.346,978,791.3
256.565,979,792.3
256.827,980,793.4
257.068,981,794.4
257.32,982,795.4
257.56,983,796.5
257.801,984,797.5
258.064,985,798.6
258.326,986,799.6
258.578,987,800.7
258.84,988,801.7
259.059,989,802.8
259.245,990,803.8
259.519,991,804.9
259.759,992,805.9
259.978,993,806.9
260.186,994,808
260.438,995,809
260.646,996,810.1
260.93,997,811.2
261.149,998,812.2
261.39,999,813.3
261.663,1000,814.4
261.937,1001,815.4
262.156,1002,816.5
262.407,1003,817.6
262.681,1004,818.6
262.954,1005,819.7
263.151,1006,820.8
263.359,1007,821.8
263.654,1008,822.9
263.928,1009,824
264.103,1010,825
264.398,1011,826.1
264.65,1012,827.2
265.033,1013,828.3
265.317,1014,829.4
265.558,1015,830.4
265.744,1016,831.5
266.039,1017,832.6
266.247,1018,833.6
266.543,1019,834.7
266.827,1020,835.8
267.09,1021,836.9
267.352,1022,838
267.593,1023,839.1
267.779,1024,840.1
268.02,1025,841.2
268.217,1026,842.2
268.468,1027,843.2
268.72,1028,844.3
268.983,1029,845.3
269.256,1030,846.3
269.486,1031,847.4
269.759,1032,848.4
270.022,1033,849.4
270.252,1034,850.4
270.416,1035,851.5
270.7,1036,852.5
270.941,1037,853.5
271.127,1038,854.5
271.379,1039,855.5
271.598,1040,856.5
271.904,1041,857.6
272.112,1042,858.6
272.287,1043,859.6
272.484,1044,860.6
272.67,1045,861.6
272.91,1046,862.6
273.096,1047,863.6
273.26,1048,864.6
273.556,1049,865.7
273.851,1050,866.7
274.103,1051,867.7
274.3,1052,868.7
274.628,1053,869.7
274.924,1054,870.8
275.131,1055,871.8
275.35,1056,872.8
275.657,1057,873.9
275.843,1058,874.9
276.094,1059,875.9
276.357,1060,877
276.641,1061,878
276.893,1062,879
277.156,1063,880.1
277.341,1064,881.1
277.549,1065,882.1
277.878,1066,883.2
278.162,1067,884.2
278.436,1068,885.2
278.687,1069,886.2
278.928,1070,887.3
279.191,1071,888.3
279.431,1072,889.3
279.639,1073,890.4
279.935,1074,891.4
280.153,1075,892.4
280.372,1076,893.4
280.635,1077,894.4
280.875,1078,895.4
281.061,1079,896.4
281.335,1080,897.4
281.63,1081,898.4
281.86,1082,899.4
282.002,1083,900.4
282.243,1084,901.5
282.44,1085,902.5
282.703,1086,903.4
282.987,1087,904.4
283.206,1088,905.4
283.545,1089,906.3
283.862,1090,907.3
284.092,1091,908.3
284.267,1092,909.3
284.442,1093,910.3
284.683,1094,911.2
284.847,1095,912.2
285.077,1096,913.2
285.307,1097,914.2
285.503,1098,915.1
285.744,1099,916.1
286.018,1100,917.1
286.28,1101,918
286.466,1102,919
286.707,1103,920
286.926,1104,921
287.079,1105,922
287.363,1106,922.9
287.604,1107,923.9
287.834,1108,924.8
288.053,1109,925.8
288.348,1110,926.8
288.676,1111,927.7
288.895,1112,928.7
289.114,1113,929.7
289.289,1114,930.6
289.453,1115,931.6
289.705,1116,932.6
289.935,1117,933.6
290.164,1118,934.5
290.416,1119,935.5
290.613,1120,936.5
290.952,1121,937.5
291.138,1122,938.4
291.357,1123,939.4
291.63,1124,940.4
291.849,1125,941.4
292.013,1126,942.3
292.254,1127,943.3
292.538,1128,944.3
292.746,1129,945.2
292.954,1130,946.2
293.217,1131,947.2
293.479,1132,948.1
293.72,1133,949.1
293.906,1134,950.1
294.103,1135,951
294.377,1136,952
294.628,1137,953
294.814,1138,954
295.022,1139,954.9
295.208,1140,955.9
295.493,1141,956.9
295.755,1142,957.9
295.941,1143,958.9
296.138,1144,959.8
296.335,1145,960.8
296.63,1146,961.8
296.86,1147,962.8
297.09,1148,963.8
297.32,1149,964.7
297.549,1150,965.7
297.845,1151,966.7
298.075,1152,967.7
298.381,1153,968.7
298.589,1154,969.6
298.764,1155,970.6
299.059,1156,971.6
299.278,1157,972.6
299.508,1158,973.6
299.727,1159,974.6
299.946,1160,975.6
300.142,1161,976.6
300.383,1162,977.6
300.58,1163,978.6
300.854,1164,979.6
301.061,1165,980.6
301.302,1166,981.6
301.597,1167,982.6
301.838,1168,983.6
302.035,1169,984.6
302.221,1170,985.6
302.473,1171,986.6
302.735,1172,987.6
302.954,1173,988.6
303.151,1174,989.6
303.457,1175,990.6
303.676,1176,991.6
303.884,1177,992.7
304.103,1178,993.7
304.398,1179,994.7
304.661,1180,995.7
304.935,1181,996.7
305.153,1182,997.8
305.394,1183,998.8
305.646,1184,999.8
305.875,1185,1000.8
306.083,1186,1001.8
